"","dyad_name","gender","GES_score","age","language","parent","experience","regular_contact","ID","id_in_group","stim_category","stim_number","time","soundLevel","startSound","RT","RT_from_onset","position","response"
"117","NOBLE EBONY OYSTER","Female",2.2,25,"Other","No","No","No","1 NOBLE EBONY OYSTER",1,"Cries",4,11:56:11,0,16,4620,4604,"Left","Left"
"118","NOBLE EBONY OYSTER","Female",2.2,25,"Other","No","No","No","1 NOBLE EBONY OYSTER",1,"Cries",3,11:57:44,0,17,4052,4035,"Left","Left"
"119","NOBLE EBONY OYSTER","Female",2.2,25,"Other","No","No","No","1 NOBLE EBONY OYSTER",1,"Cries",2,12:00:12,0,17,3886,3869,"Left","Left"
"120","NOBLE EBONY OYSTER","Female",2.2,25,"Other","No","No","No","1 NOBLE EBONY OYSTER",1,"Cries",1,12:04:50,0,18,4203,4185,"Left","Left"
"121","NOBLE EBONY OYSTER","Female",2.2,25,"Other","No","No","No","1 NOBLE EBONY OYSTER",1,"Alarm",4,12:06:41,4,48056,0,0,"Left","none"
"122","NOBLE EBONY OYSTER","Male",2.48,27,"Other","No","No","No","2 NOBLE EBONY OYSTER",2,"Alarm",1,11:47:39,2,24032,27572,3540,"Right","Left"
"123","NOBLE EBONY OYSTER","Male",2.48,27,"Other","No","No","No","2 NOBLE EBONY OYSTER",2,"Alarm",2,11:49:54,3,36039,39214,3175,"Right","Left"
"124","NOBLE EBONY OYSTER","Male",2.48,27,"Other","No","No","No","2 NOBLE EBONY OYSTER",2,"Alarm",3,11:52:51,3,36048,41166,5118,"Right","Left"
"125","NOBLE EBONY OYSTER","Male",2.48,27,"Other","No","No","No","2 NOBLE EBONY OYSTER",2,"Cries",4,11:56:11,0,16,4620,4604,"Right","Left"
"126","NOBLE EBONY OYSTER","Male",2.48,27,"Other","No","No","No","2 NOBLE EBONY OYSTER",2,"Cries",3,11:57:44,0,17,4052,4035,"Right","Left"
"127","NOBLE EBONY OYSTER","Male",2.48,27,"Other","No","No","No","2 NOBLE EBONY OYSTER",2,"Cries",2,12:00:12,0,17,3886,3869,"Right","Left"
"128","NOBLE EBONY OYSTER","Male",2.48,27,"Other","No","No","No","2 NOBLE EBONY OYSTER",2,"Cries",1,12:04:50,0,18,4203,4185,"Right","Left"
"129","NOBLE EBONY OYSTER","Male",2.48,27,"Other","No","No","No","2 NOBLE EBONY OYSTER",2,"Alarm",4,12:06:41,4,48056,0,0,"Right","none"
"130","POISED ALMOND PANTHER","Female",1.72,31,"Other","No","No","No","1 POISED ALMOND PANTHER",1,"Cries",3,15:28:08,4,48058,0,0,"Left","none"
"131","POISED ALMOND PANTHER","Female",1.72,31,"Other","No","No","No","1 POISED ALMOND PANTHER",1,"Cries",1,15:34:49,4,48059,0,0,"Left","none"
"132","POISED ALMOND PANTHER","Female",1.72,31,"Other","No","No","No","1 POISED ALMOND PANTHER",1,"Alarm",1,15:37:44,4,48058,0,0,"Left","none"
"133","POISED ALMOND PANTHER","Female",1.72,31,"Other","No","No","No","1 POISED ALMOND PANTHER",1,"Alarm",2,15:30:28,4,48059,0,0,"Left","none"
"134","POISED ALMOND PANTHER","Female",1.72,31,"Other","No","No","No","1 POISED ALMOND PANTHER",1,"Alarm",4,15:32:10,4,48056,0,0,"Left","none"
"135","POISED ALMOND PANTHER","Female",1.72,31,"Other","No","No","No","1 POISED ALMOND PANTHER",1,"Cries",2,15:46:13,4,48059,0,0,"Left","none"
"136","POISED ALMOND PANTHER","Female",1.72,31,"Other","No","No","No","1 POISED ALMOND PANTHER",1,"Alarm",3,15:40:19,4,48060,0,0,"Left","none"
"137","POISED ALMOND PANTHER","Female",1.72,31,"Other","No","No","No","1 POISED ALMOND PANTHER",1,"Cries",4,15:43:01,4,48048,0,0,"Left","none"
"138","SAFE BLUE MAGPIE","Male",3.12,23,"Danish","No","No","No","1 SAFE BLUE MAGPIE",1,"Cries",2,10:28:04,4,48058,0,0,"Left","Left"
"139","SAFE BLUE MAGPIE","Male",3.12,23,"Danish","No","No","No","1 SAFE BLUE MAGPIE",1,"Alarm",3,10:39:44,0,8,5087,5079,"Left","Left"
"140","SAFE BLUE MAGPIE","Male",3.12,23,"Danish","No","No","No","1 SAFE BLUE MAGPIE",1,"Alarm",2,10:30:57,1,12028,19047,7019,"Left","Left"
"141","SAFE BLUE MAGPIE","Male",3.12,23,"Danish","No","No","No","1 SAFE BLUE MAGPIE",1,"Alarm",1,10:34:04,0,18,5687,5669,"Left","Left"
"142","SAFE BLUE MAGPIE","Male",3.12,23,"Danish","No","No","No","1 SAFE BLUE MAGPIE",1,"Cries",1,10:36:23,0,10,5154,5144,"Left","Left"
"143","SAFE BLUE MAGPIE","Male",3.12,23,"Danish","No","No","No","1 SAFE BLUE MAGPIE",1,"Cries",4,10:47:38,0,19,5336,5317,"Left","Left"
"144","SAFE BLUE MAGPIE","Male",3.12,23,"Danish","No","No","No","1 SAFE BLUE MAGPIE",1,"Alarm",4,10:41:31,0,9,5787,5778,"Left","Left"
"145","SAFE BLUE MAGPIE","Male",3.12,23,"Danish","No","No","No","1 SAFE BLUE MAGPIE",1,"Cries",3,10:45:54,0,18,5787,5769,"Left","Left"
"146","SAFE BLUE MAGPIE","Female",2.56,25,"Other","No","No","No","2 SAFE BLUE MAGPIE",2,"Cries",2,10:28:04,4,48058,0,0,"Left","Left"
"147","SAFE BLUE MAGPIE","Female",2.56,25,"Other","No","No","No","2 SAFE BLUE MAGPIE",2,"Alarm",3,10:39:44,0,8,5087,5079,"Left","Left"
"148","SAFE BLUE MAGPIE","Female",2.56,25,"Other","No","No","No","2 SAFE BLUE MAGPIE",2,"Alarm",2,10:30:57,1,12028,19047,7019,"Left","Left"
"149","SAFE BLUE MAGPIE","Female",2.56,25,"Other","No","No","No","2 SAFE BLUE MAGPIE",2,"Alarm",1,10:34:04,0,18,5687,5669,"Left","Left"
"150","SAFE BLUE MAGPIE","Female",2.56,25,"Other","No","No","No","2 SAFE BLUE MAGPIE",2,"Cries",1,10:36:23,0,10,5154,5144,"Left","Left"
"151","SAFE BLUE MAGPIE","Female",2.56,25,"Other","No","No","No","2 SAFE BLUE MAGPIE",2,"Cries",4,10:47:38,0,19,5336,5317,"Left","Left"
"152","SAFE BLUE MAGPIE","Female",2.56,25,"Other","No","No","No","2 SAFE BLUE MAGPIE",2,"Alarm",4,10:41:31,0,9,5787,5778,"Left","Left"
"153","SAFE BLUE MAGPIE","Female",2.56,25,"Other","No","No","No","2 SAFE BLUE MAGPIE",2,"Cries",3,10:45:54,0,18,5787,5769,"Left","Left"
